time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
102957,1.232000,474151,215114,87570,1293,26036,4357,228538,273849,105030,43819,1092,11618,2791,128390,184893,78648,33480,943,8679,1935,83615,521428,264455,109658,2526,43154,4771,239697
205020,1.204000,33200,15237,5327,61,1313,192,7243,101567,46712,18700,370,4804,1128,41365,23201,10658,3523,32,706,99,2183,386162,224892,93235,1983,37470,3618,188880
307085,1.200000,139311,57442,23623,586,5981,1524,60542,200063,79853,32627,818,8666,2039,90741,456936,172533,66862,2416,21738,6037,219277,377224,213695,87877,1714,36920,3398,184428
409145,1.204000,34319,15244,5323,69,1301,187,7942,108257,46694,18920,462,4878,1224,44878,96948,48237,20365,367,5181,917,39848,391442,228676,94334,1928,38705,3519,191580
511188,1.184000,75332,31368,12261,292,3011,723,28613,138932,64059,25913,516,7025,1492,60218,23092,10655,3520,35,710,94,2334,394458,231628,96120,1771,38321,3628,193097
613277,1.248000,39296,18361,6540,92,1697,258,10498,116435,55243,22142,407,5904,1147,48737,22823,10589,3520,30,702,92,2238,380879,222210,92084,1751,37253,3625,186281
715321,1.200000,95093,39224,15122,333,4040,1052,38453,139558,66908,27498,598,7002,1382,60417,22688,10573,3522,31,706,91,2249,369014,214216,88528,1790,36312,3470,180307
817349,1.204000,32639,15240,5330,61,1313,177,7090,75061,35418,14030,217,3548,684,28222,22552,10602,3524,30,706,91,2131,358274,209546,86456,1655,35315,3308,174977
919460,1.200000,153816,74203,28042,150,9119,1267,67766,121694,54058,21799,396,5571,1103,51646,2031537,1505660,596979,5027,198885,20077,1006692,434662,230761,94407,1983,40264,3673,213185
1021529,1.200000,85670,37362,13696,310,3954,885,33760,101392,47728,18716,293,5128,1034,41331,47166,20980,7457,138,1980,507,14177,398832,227567,93512,1889,38097,3931,195237
1123668,1.204000,214793,86949,34849,780,9792,2327,98295,169632,77794,31735,575,8653,1611,75803,68206,27637,10534,301,2528,673,24882,985940,601101,238440,4392,65289,7913,488753
1225814,1.208000,666638,353114,132639,224,46251,4837,324049,151131,65787,26620,461,7061,1346,66205,2974135,2251182,969351,6562,288279,25547,1477788,459416,229217,94079,2041,39220,3876,225523
1327890,1.208000,807573,419611,159645,510,54431,6432,394568,136304,62356,25274,529,6508,1237,58887,23748,10673,3526,30,711,95,2506,369423,213396,87521,1703,36972,3414,180570
1429933,1.188000,33213,15274,5328,66,1313,182,7398,86364,42269,16702,338,4333,784,33847,49030,22260,8465,197,1994,458,15374,365665,212922,87484,1701,36238,3492,178625
1532016,1.200000,83396,37194,14661,341,3746,846,32683,133643,63671,25129,446,6688,1398,57619,22963,10623,3524,30,711,92,2277,392707,224374,92552,1994,37650,3776,192176
1634048,1.200000,32909,15256,5326,62,1301,177,7248,114942,54295,21764,391,5906,1092,48564,22844,10621,3522,30,702,93,2219,378414,220384,91295,1668,36830,3710,185016
1736090,1.200000,31908,15238,5328,51,1305,168,6937,138144,67763,27420,502,7086,1394,59681,22613,10585,3523,29,706,91,2182,362976,212116,87348,1736,36411,3360,177338
1838130,1.200000,31861,14557,5278,55,1282,165,6810,78173,37087,14380,254,3782,722,29798,22435,10584,3523,29,706,92,2105,364277,212378,87489,1700,35918,3476,178011
1940168,1.200000,34882,16175,5718,61,1400,209,8374,138773,68155,27368,511,7135,1388,60106,50593,24872,9288,139,2488,496,16179,361920,210034,86308,1713,36022,3449,176751
2042204,1.196000,53427,24427,9345,171,2276,442,17701,78252,36992,14355,237,3772,713,29792,22865,10601,3521,29,706,92,2262,405439,229528,93963,2079,38201,3911,198580
2144260,1.216000,108643,49082,18387,180,5661,843,45222,340582,144464,58697,1530,15916,3493,160974,670602,260001,107333,4533,33219,8342,326244,475314,254465,104248,1990,42359,4303,233487
2246327,1.204000,32586,15239,5328,55,1299,173,7155,113617,53082,21127,459,5638,1149,47811,59315,29118,12063,215,2703,556,20990,374995,218006,89505,1855,37307,3516,183345
2348359,1.188000,32202,15275,5334,52,1309,168,7000,126100,61128,24522,548,6345,1285,53735,22996,10620,3522,30,710,95,2186,356746,207519,85371,1649,35373,3325,174190
2450393,1.200000,111115,43872,17639,328,4486,1026,46456,97532,46765,18725,380,4758,946,39472,47540,21502,8071,181,1884,443,14664,363886,211831,86770,1743,36546,3457,177845
2552605,1.248000,81266,36361,14506,347,3583,724,31405,123944,60418,24300,509,6326,1170,52763,22909,10646,3522,29,706,95,2273,369500,211978,86821,1786,36169,3548,180564
2654643,1.200000,32450,15251,5328,58,1313,172,7036,94702,45055,17821,356,4645,943,38081,22539,10592,3523,29,706,96,2142,399515,228018,94054,1935,37514,4037,195586
2756676,1.200000,108851,46800,17918,407,4934,1206,45382,92429,44791,17628,323,4669,956,36900,22698,10629,3522,29,706,93,2214,360573,209643,86531,1691,35797,3327,176110
2858712,1.200000,32863,15276,5327,62,1313,173,7252,107412,50804,20060,410,5223,1105,44429,22426,10606,3522,29,706,91,2156,364028,212709,87560,1678,36344,3396,177875
2960757,1.200000,34808,16155,5716,61,1408,205,8330,169841,67274,27428,864,7190,1682,75665,69645,31392,11484,275,3334,817,25666,367932,215871,88700,1757,37294,3356,179827
3062839,1.204000,55942,25796,9547,159,2522,505,18894,96256,45684,18327,414,4560,1027,38832,23082,10644,3523,30,706,92,2296,443247,245065,102196,2125,39100,4543,217462
3164919,1.672000,224688,88614,35409,946,10053,2218,103144,649723,262244,104867,2922,29226,6458,315554,207005,65770,26332,1310,8058,2090,94408,506490,266307,109946,2104,44244,4709,249055
3267114,1.188000,1826258,829579,327970,5912,102185,14963,903816,5470992,2564602,1044654,25319,287844,57890,2726219,849448,305372,125836,4952,39797,9701,415417,605369,289916,119022,2470,49079,5149,298472
3369199,1.200000,33122,15358,5357,69,1322,184,7431,23518,10652,3523,30,707,98,2189,23590,10658,3522,34,710,98,2364,419682,236031,98327,2149,37915,4085,205692
3471377,1.392000,439635,174367,69860,1526,20521,3793,210771,1311580,530251,213256,8998,56234,12809,646609,389889,135102,56507,2521,16692,4043,185731,514570,260808,106365,1905,45942,4276,253085
3573572,1.204000,92244,40370,16394,463,4076,860,36877,23900,10646,3523,31,703,95,2400,84388,38300,15539,543,4255,839,33023,444794,246310,102291,2109,40123,4310,218209
3675615,1.200000,33916,15346,5358,69,1330,183,7773,117652,46338,18271,600,4676,1287,49594,22950,10648,3522,37,707,97,2229,431768,245616,101697,2138,40177,4314,211717
3777667,1.216000,33376,15371,5357,60,1330,172,7554,45450,20384,7491,163,1822,390,13360,299236,124146,48977,1693,15449,3758,140489,459367,256715,106087,2135,41924,4620,225529
3879687,1.204000,32526,14664,5316,51,1307,164,7057,80825,37094,14450,386,3613,806,31224,318493,169952,71557,1942,19467,3452,149871,367058,211716,86901,1633,36764,3483,179343
3981897,1.196000,164619,67442,25922,402,8043,1352,73164,432470,188775,72831,1851,21196,4671,206935,1459996,936613,302478,6680,138280,20073,720922,433673,230265,94314,1820,40260,3735,212681
4084049,1.204000,151028,59633,22786,380,7057,1226,66480,544007,246522,94543,2411,28214,6264,263023,473880,214692,88907,3060,27303,5343,227373,501648,261249,107318,2190,44009,4466,246708
4186195,1.200000,135565,56617,21228,328,6651,1093,58582,589659,304525,112445,2519,37147,6909,285396,460243,211697,87129,3062,27009,5186,220652,489027,259018,106834,1963,43491,4249,240320
4288291,1.204000,33982,15347,5358,64,1322,178,7848,82430,32124,12234,366,3066,809,31804,315629,139412,55886,1754,17359,3929,148356,514899,281045,116428,2396,45044,5232,253284
4390389,1.204000,75574,35145,13148,104,3983,560,28621,248822,134762,48939,977,15327,3026,115161,423397,176149,73351,3151,22110,5373,202345,426594,235642,97253,1947,40048,3875,209116
4492498,1.200000,168871,71511,28560,521,8037,1609,75360,305769,167505,62311,1273,18850,3734,143526,411040,180845,75199,3190,22706,5199,196132,429991,235079,96618,2009,40383,3861,210808
4594541,1.200000,87311,37947,15028,386,3742,831,34479,23354,10643,3524,33,710,96,2176,23208,10646,3522,31,706,99,2188,383882,216626,89791,1869,36617,3474,187785
4696618,1.196000,77446,35989,13224,125,4027,589,29552,342343,181253,67761,1461,20398,3998,161972,401982,170385,70958,2991,21498,4881,191942,478430,262799,109654,2328,42831,4327,235073
4798683,1.192000,33889,14663,5307,58,1299,170,7696,23740,10669,3525,30,711,99,2483,324784,144028,57403,1896,17970,4133,152994,438342,244117,101431,2045,39693,4339,215057
4900873,1.204000,98416,38270,14942,312,4001,973,40058,81843,36395,14176,380,3517,783,31717,23219,10656,3524,33,710,97,2275,388413,218313,90060,1851,37015,3690,190028
5002990,1.200000,42386,18666,6919,88,1786,287,11892,79123,32676,12454,314,3538,719,30196,47357,21409,8020,189,1868,432,14522,441327,250702,104286,2051,41027,4395,216429
5105007,1.220000,52632,24302,9256,164,2268,409,17237,67990,30714,11784,326,2864,616,24723,23225,10637,3525,29,706,91,2439,483059,272987,114107,2200,43176,4808,237327
5207048,1.200000,32532,14652,5302,58,1292,164,7138,81922,37297,14840,366,3617,734,31675,22710,10554,3519,29,702,90,2284,964408,562725,232703,3426,82475,8172,477970
5309082,1.200000,32060,15343,5357,53,1322,168,7027,72852,34601,13376,328,3322,676,27224,22552,10645,3523,29,706,90,2190,385087,219309,90825,1833,36776,3736,188398
5411119,1.200000,31918,14665,5306,56,1302,165,6808,22808,10648,3523,29,710,90,2175,22284,10584,3522,29,706,89,2104,390043,222411,92322,1853,36581,3812,190838
5513211,1.196000,125018,51575,20535,374,5663,1255,53399,93131,44906,17827,431,4478,950,37103,51379,25007,9309,137,2536,495,16561,463976,263227,109733,2039,42176,4571,227794
5615251,1.200000,32709,14668,5298,60,1297,178,7122,22859,10660,3525,33,710,91,2148,22515,10609,3521,29,707,91,2168,392724,225660,93638,1803,37590,3827,192145
5717282,1.192000,70436,30133,11795,225,2969,603,26118,127413,61681,24729,544,6391,1412,54564,23048,10578,3522,30,706,91,2373,382742,218779,89851,1770,37643,3703,187115
5819310,1.248000,32094,15342,5357,61,1322,171,6982,23023,10633,3524,31,710,91,2262,22392,10567,3523,29,706,90,2130,385340,219602,91311,1843,35982,3727,188481
5921328,1.204000,31878,15361,5356,54,1322,167,6905,22380,10593,3524,29,710,92,2064,22376,10610,3523,29,706,91,2083,382039,218715,90743,1756,36115,3622,186887
6023430,1.200000,42012,16438,5750,66,1413,196,8372,42320,19024,7446,138,1711,347,12661,66362,28844,10819,230,3026,706,24092,410814,236352,97875,1829,39344,3995,201099
6125469,1.200000,72479,32896,12535,236,3358,644,27123,22800,10645,3526,29,710,91,2247,22973,10657,3524,29,706,92,2271,404822,228266,94025,1966,37840,4204,198240
6227510,1.204000,32961,15347,5358,62,1322,172,7361,140172,66778,27031,657,6538,1391,60931,23007,10591,3522,29,706,91,2390,441352,250021,104130,2039,40214,4414,216475
6329550,1.200000,32052,14663,5306,56,1300,165,6881,22945,10649,3524,33,706,96,2087,22456,10590,3522,29,706,93,2135,383541,218468,90439,1848,36175,3757,187575
6431582,1.196000,31696,15347,5359,51,1322,165,6868,62796,29125,11257,237,2696,533,22246,22669,10626,3524,29,707,91,2183,389527,222753,91833,1834,37461,3835,190559
6533685,1.196000,105362,47807,19659,373,4997,1085,43502,23637,10595,3525,31,710,93,2430,50412,24282,8999,136,2461,438,16173,414598,235758,97859,1916,38626,4138,203146
6635727,1.188000,32947,15369,5358,68,1330,175,7235,69926,33274,12723,251,3190,657,25806,22688,10602,3523,32,706,91,2239,392996,225052,92834,1904,38140,3832,192260
6737765,1.200000,72145,32775,12667,264,3226,635,27081,78693,36845,14401,304,3638,777,30066,22638,10592,3522,29,706,90,2286,426761,242339,100444,1969,39487,4238,209183
6839796,1.204000,32843,15391,5356,66,1322,173,7288,60838,28254,10977,228,2560,496,21212,22541,10635,3520,29,706,91,2149,431609,245542,102303,1930,39415,4338,211619
6941893,1.200000,97281,42668,16662,344,4428,1013,39575,45427,21469,7927,147,1929,362,13452,22486,10582,3522,29,706,91,2199,380668,217505,89771,1787,36600,3623,186192
7043932,1.200000,35190,16273,5747,74,1413,204,8468,60552,28329,11014,203,2571,481,21080,46907,23332,8683,106,2169,401,14387,420311,239309,99392,1958,38937,4289,205978
