time,current,cycles_0,insns_0,cycles_1,insns_1,cycles_2,insns_2,cycles_3,insns_3
102536,1.208000,863098,379859,551886,252279,267409,123652,311757,146735
204116,1.204000,68587,34718,373758,199951,80896,37612,42817,21066
305667,1.192000,18050,6688,412419,219224,63626,29436,7130,1800
407227,1.196000,206004,61514,328918,179606,135426,56189,7021,1791
508788,1.196000,40614,16829,375176,201980,82591,37792,6839,1767
610383,1.180000,2099100,1541250,383579,192933,70328,31255,71239,24399
711939,1.192000,16870,6532,364378,194933,63795,28591,6951,1853
813487,1.188000,17510,6689,355338,191665,58263,27057,6624,1760
915019,1.196000,15977,6522,302629,165496,105628,48831,6661,1850
1016602,1.236000,16006,6516,380112,201772,101170,47406,6751,1781
1118150,1.196000,16564,6523,322310,178060,74192,34560,6671,1798
1219696,1.192000,16069,6500,335775,182059,59769,27670,6704,1771
1321299,1.196000,2849289,2036542,449711,222056,137053,61117,32779,12109
1422875,1.192000,297985,156797,359987,187917,133932,57102,6957,1807
1524421,1.180000,19070,7307,333359,183769,82046,37802,6724,1802
1625991,1.196000,229314,92011,346999,180759,604801,383729,30476,11604
1727590,1.192000,17611,6492,328052,181434,86795,38804,7243,1869
1829136,1.196000,17653,6690,382167,202831,61834,28407,6861,1782
1930680,1.196000,16362,6487,311121,169111,108005,50935,6709,1803
2032220,1.196000,16371,6501,408472,215727,83869,39396,6864,1774
2133764,1.196000,16196,6497,312883,171890,59497,27286,6693,1806
2235311,1.196000,16344,6513,349428,191026,61350,28752,6681,1836
2336852,1.196000,18786,7424,345369,187142,57706,26877,6774,1822
2438397,1.196000,16806,6491,349822,190715,127150,57895,6731,1786
2539936,1.192000,20374,7471,356970,193266,107718,51038,6713,1798
2641481,1.192000,46313,19416,350997,191525,59469,26663,92768,39159
2743024,1.196000,16520,6487,328258,182390,61047,28287,7312,1872
2844573,1.196000,17484,6686,385051,208123,57493,26688,6720,1845
2946138,1.180000,354785,160000,1463377,700789,64363,29393,7706,1780
3047715,1.196000,17581,6538,397330,205172,106262,49574,6947,1809
3149264,1.196000,66517,27561,386859,205275,7990,1851,6797,1774
3250811,1.196000,16557,6548,399015,213279,6841,1805,6562,1774
3352348,1.192000,15974,6487,372092,199095,6663,1771,6541,1832
3453890,1.196000,16412,6493,377653,201568,76677,33032,6577,1769
3555434,1.196000,17219,6686,344332,185168,7050,1851,6441,1794
3656973,1.196000,55758,24017,376261,201963,29913,12888,8022,1958
3758510,1.192000,16845,6537,357968,192812,6835,1806,6495,1786
3860054,1.192000,16175,6503,404017,216067,6562,1790,6585,1814
3961882,1.680000,2137563,518909,1021043,245182,11336701,6212430,428927,1821
4063619,3.376000,55222338,23473742,52749586,22786257,70760747,33899905,52916656,22922909
4164993,4.408000,100896476,35387876,100893265,35414534,100896453,36051069,100891452,35298544
4266440,4.680000,100905589,39369299,100906940,39200831,100908649,40137159,100973288,39593663
4367813,4.416000,100891742,37872699,100907034,38232106,100899613,38084372,100903889,37629790
4469195,4.488000,100906614,35498396,100911880,35404753,100913046,37308216,100910509,35909629
4570568,4.688000,100891773,39554808,100894842,38946153,100893747,39844049,100888996,39244944
4671941,4.508000,100896097,37560951,100897394,38326891,100884367,37054808,100892985,37280649
4773362,4.588000,100953055,36089750,100956109,35432831,100954126,38362946,100951127,36200618
4874712,4.676000,100885830,39296229,100888595,38859668,100887817,39726462,100885252,39275132
4976100,4.520000,100903441,37238994,100908946,38407089,100909922,36341083,100905298,36993221
5077522,4.624000,100881240,36510612,100879757,35569523,100875879,39383827,100873405,36497909
5178882,4.628000,100895626,39208603,100899170,38612028,100897958,38737843,100893441,39130882
5280247,4.648000,100899808,36890231,100899148,38564143,100886685,37058215,100896572,36750925
5381602,4.960000,100882171,36722633,100886793,35506976,100886668,39522205,100882371,36700601
5482998,4.636000,100932870,39233625,100934716,38527911,100934472,37734826,100931114,39196053
5584373,4.540000,100903976,36636261,100905967,38684291,100906870,38001013,100902346,36550262
5685745,4.632000,100896905,37131944,100906939,35586588,100904582,39574107,100901378,37032551
5787355,4.648000,100996924,39173663,101005195,38473218,100999218,36736121,100961332,39152805
5888702,4.556000,100874856,36343524,100880523,38735595,100877207,38897338,100873906,36237594
5990069,4.572000,100885944,37144328,100896395,35537478,100895761,38967204,100892515,37282656
6091414,4.648000,100877185,39114506,100882959,38670270,100880960,36361894,100876612,39120086
6192812,4.504000,100931548,36554972,100934852,38521034,100932881,39842957,100928416,36116569
6294166,4.592000,100886024,37170379,100893344,35547148,100889246,38037249,100886842,37532860
6395528,4.820000,100890815,39162731,100898696,39051783,100897669,37602956,100892383,39131770
6496887,4.504000,100890648,36521101,100895429,38136728,100888768,39531099,100890937,35816718
