time,current,cycles_0,insns_0,cycles_1,insns_1,cycles_2,insns_2,cycles_3,insns_3
2494,1.696000,239403,131122,6459,1519,6524,1569,6482,1593
3964,1.696000,222265,121682,5571,1485,5817,1518,6823,1670
5443,1.696000,224032,122540,5579,1474,5572,1505,6552,1668
6909,1.696000,221833,121960,5628,1485,5571,1501,5558,1481
8374,1.564000,212972,118493,5567,1468,5630,1476,5647,1501
9828,1.564000,205814,116310,5632,1498,5627,1516,5622,1509
11290,1.564000,226029,124077,24135,10771,108242,43235,28676,10981
12751,1.564000,211355,119774,5787,1544,5984,1573,5684,1509
14207,1.564000,211149,118687,5544,1483,5729,1528,5684,1553
15655,1.500000,204217,116008,5565,1474,5640,1517,5657,1550
17101,1.500000,205229,115944,5621,1498,5549,1503,5570,1509
18557,1.500000,206391,117148,5606,1495,5648,1485,5588,1487
20009,1.500000,204732,116433,5590,1505,5651,1492,6575,1668
21473,1.512000,253592,138305,21688,9950,44894,18423,42451,15680
22936,1.512000,210095,119383,5712,1480,6112,1706,5837,1563
24389,1.512000,205514,116864,6454,1668,5971,1670,5576,1483
25846,1.512000,208098,118022,6477,1668,5969,1666,5619,1501
27299,1.512000,204802,115713,5604,1497,5943,1657,5550,1509
28744,1.516000,205550,116199,5517,1465,5917,1690,5540,1483
30207,1.516000,209274,118623,6432,1668,5974,1680,5593,1485
31668,1.516000,224004,124384,27953,11954,45903,19238,24248,10686
33123,1.516000,210770,119991,6306,1786,6359,1801,5605,1497
34579,1.504000,204768,116035,6189,1790,6193,1782,5502,1483
36037,1.504000,207890,117841,7478,1954,6152,1788,5532,1480
37490,1.504000,206106,117372,6144,1768,6159,1794,5571,1464
38947,1.504000,204435,116146,6148,1751,6234,1846,5615,1541
40407,1.560000,207651,117642,6110,1767,6085,1786,5577,1487
41987,1.560000,354770,194102,7643,1954,6456,1813,21779,10391
43448,1.560000,208742,117681,6140,1770,6341,1794,5657,1553
44899,1.560000,206160,117296,6106,1754,6234,1827,5570,1485
46349,1.560000,205320,116911,7387,1954,6130,1806,5593,1501
47802,1.452000,208754,118714,6146,1782,6170,1795,5550,1482
49256,1.452000,204907,116288,6165,1750,6155,1788,5585,1498
50716,1.452000,205429,116584,6102,1759,6173,1820,5632,1515
52204,1.452000,209493,120015,6336,1766,7095,1889,6695,1848
53661,1.640000,210165,119060,7414,1958,6170,1832,6098,1780
55120,1.640000,210807,120017,7348,1958,6167,1780,6116,1774
56575,1.640000,204797,116153,6099,1761,6153,1784,6113,1784
58022,1.640000,204348,116428,6154,1774,6167,1822,6135,1784
59474,1.640000,206558,117711,6246,1776,6166,1771,6114,1787
61348,1.468000,205189,116198,6151,1787,6125,1822,6058,1763
62691,1.468000,265779,138320,6489,1750,6304,1830,6304,1835
63904,1.468000,206130,116129,6120,1753,6159,1790,6114,1808
65121,1.468000,207524,117277,7446,1954,6140,1826,6053,1774
66331,1.668000,205149,116171,6122,1776,6119,1794,6029,1800
67544,1.668000,208781,118527,7430,1954,6207,1797,6040,1806
68761,1.668000,210680,118632,6088,1765,6103,1792,6038,1797
69969,1.668000,205757,116618,6098,1753,6179,1827,6118,1817
71186,1.668000,227215,124310,7088,1762,55243,23505,74179,21539
72406,1.668000,209574,119992,7443,1954,6427,1770,6417,1841
73617,1.608000,206457,116613,6107,1770,6121,1783,6081,1820
74832,1.608000,207800,117715,6078,1782,6109,1786,6158,1824
76049,1.608000,206367,117508,7328,1954,6189,1770,6094,1803
77261,1.608000,206132,116627,6109,1754,6182,1787,6088,1794
78471,1.608000,206121,116463,6046,1759,6136,1794,6139,1760
79688,1.660000,207629,118531,7373,1954,6132,1767,7341,1954
80929,1.660000,207673,118493,7378,1954,6199,1794,7406,1954
82145,1.660000,207264,118500,7474,1954,6113,1808,7422,1954
83357,1.660000,205091,116184,6089,1776,6120,1797,6157,1776
84574,1.660000,205081,116211,6029,1754,6123,1804,6040,1765
85781,1.660000,205309,116266,6106,1782,6145,1808,6127,1794
86991,1.680000,204958,116187,6130,1787,6086,1800,6171,1787
88208,1.680000,210094,118624,6168,1754,6132,1788,6100,1780
89427,1.680000,205356,116415,6117,1749,6162,1802,6174,1838
90641,1.680000,207017,117659,6108,1765,6166,1827,6086,1794
91903,1.680000,247711,133390,6322,1762,56640,23920,6332,1822
93115,1.640000,208501,118384,7368,1954,6364,1824,6028,1795
94326,1.640000,209699,118839,7438,1954,6096,1799,6180,1822
95541,1.640000,208874,117690,6114,1761,6085,1794,6106,1799
96873,1.640000,212828,118863,6121,1759,6123,1772,6180,1765
98086,1.640000,209187,117523,6116,1753,6142,1759,6109,1767
99300,1.652000,209215,118616,7388,1954,6106,1783,6088,1792
100519,1.652000,206541,117422,7415,1954,6125,1778,6159,1770
101760,1.652000,314273,171334,6244,1770,6538,1781,6247,1803
102970,1.652000,207419,117495,7399,1968,6158,1818,6130,1761
104187,1.652000,208898,118790,6024,1768,6183,1784,7448,1954
105397,1.684000,205702,116481,6040,1768,6129,1794,6137,1767
106605,1.684000,205860,116453,6063,1782,6119,1776,6128,1799
107821,1.684000,213015,119933,6098,1768,7433,1968,6059,1786
109031,1.684000,207564,117947,7452,1968,6069,1810,6148,1759
110242,1.684000,206300,117699,7379,1968,6147,1781,6178,1800
111461,1.684000,222443,123983,54332,19747,52220,23156,6962,1808
112677,1.680000,210210,119763,6346,1794,6422,1807,6113,1765
113890,1.680000,205054,116238,6168,1810,6072,1772,6098,1762
115107,1.680000,205624,117240,7464,1954,6112,1783,6115,1761
116319,1.680000,204214,116106,6171,1770,6105,1750,6077,1822
117528,1.680000,203932,116468,6218,1764,6129,1806,6082,1794
118739,1.664000,205768,117357,7348,1954,6174,1818,6063,1767
119951,1.664000,206955,117471,6119,1754,6108,1765,6038,1766
121165,1.664000,223465,124774,7572,1954,6455,1767,6121,1765
122376,1.664000,204674,116222,6092,1750,6153,1800,6090,1790
123592,1.664000,204841,116161,6138,1750,6083,1808,6061,1778
124803,1.664000,205681,117294,6145,1765,6087,1779,7368,1954
126020,1.672000,206603,117417,6154,1788,6105,1796,7274,1954
127236,1.672000,211391,119776,6163,1780,6171,1842,6130,1780
