time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
103081,1.204000,352365,148143,61252,1148,17044,3565,167743,338833,148635,62586,1634,16674,3252,160578,460456,271395,108657,2105,53238,3638,225950,145192,61278,25814,899,6820,1516,63755
204997,1.204000,44400,20166,7248,121,1930,315,12865,223261,104072,42702,994,11451,2818,102135,518198,314465,127622,2466,57951,4476,254877,70177,32613,13093,282,3108,679,25517
307089,1.196000,185598,70848,28663,814,7584,1993,83634,230955,114148,46769,1072,12850,2665,106109,449366,267290,106412,1896,52612,3774,220529,585263,240713,96051,2957,30118,7562,283257
409119,1.196000,33607,15300,5328,67,1299,193,7571,107729,53146,21720,468,5590,1055,44974,415062,262288,104863,1795,51785,3346,203315,69355,30451,11852,316,2886,762,25151
511190,1.200000,479274,173843,70898,2329,18502,4985,230510,78925,36582,14441,257,3701,658,30105,426444,257082,102452,1800,51516,3123,209033,543078,334480,129386,2265,23678,3883,262137
613273,1.236000,181363,84288,32044,306,10519,1589,81387,88909,38404,15110,267,3931,724,35053,416197,245298,97300,1580,50053,2937,203932,2091341,1528307,605961,5095,201104,20600,1036219
715339,1.200000,97920,42390,17064,470,4182,898,39761,76637,35733,14265,236,3591,624,28931,414490,256323,102167,1778,51049,3404,203019,50193,21989,8379,222,1962,456,15586
817466,1.204000,552360,283074,106686,392,36620,4268,266990,180437,87785,36393,682,9653,1648,80964,443396,257770,102341,1770,51908,3339,217514,2844195,2154041,916748,6530,276672,25974,1412829
919530,1.200000,612367,321959,122587,479,41543,4913,298387,84405,39783,15861,287,4071,741,32942,418641,258516,102895,1839,51570,3439,205160,91337,39720,15961,491,3662,839,36685
1021573,1.188000,37558,17382,6114,75,1574,241,9586,149238,69437,28554,654,7327,1406,65270,411737,257358,102599,1763,51310,3424,201652,23439,10647,3525,39,706,96,2231
1123612,1.200000,82723,38706,15382,380,3802,768,32351,76036,35412,13875,244,3586,670,28662,407436,254357,101644,1742,50376,3393,199501,43485,20525,7887,184,1765,333,12508
1225650,1.196000,32626,15264,5331,67,1313,172,7147,80419,38521,15041,242,3960,708,30869,424192,262011,104298,1818,51475,3752,207870,45792,21062,7933,172,1853,349,13588
1327693,1.200000,87840,42045,16455,418,4205,832,34820,74647,35488,13897,184,3587,627,28055,409067,254593,101754,1763,50474,3399,200307,69356,32408,12661,316,3166,650,25370
1429781,1.196000,178376,74053,29036,602,8287,1689,79998,155730,73325,29700,435,7917,1331,68590,583638,315049,127150,2609,58275,5157,287633,744365,299639,124281,4999,37442,9396,362840
1531840,1.200000,93076,41799,16627,415,4115,841,37370,83712,40331,16043,318,4134,723,32544,411261,255635,102120,1731,50890,3331,201425,24006,10591,3524,37,710,97,2504
1633879,1.200000,35090,16170,5724,66,1407,206,8422,80477,38536,15054,250,3962,681,30872,409743,256006,102598,1776,50264,3438,200696,46287,20974,7960,186,1820,399,13921
1735912,1.200000,99742,47714,19077,434,4792,940,40832,74592,35480,13904,205,3591,610,27975,400688,251596,100044,1765,50619,3247,196182,46178,21185,7974,168,1857,381,13890
1837987,1.200000,87162,40295,16106,357,4077,755,34350,141703,69726,27913,346,7799,1265,61503,466681,283116,115263,2033,52428,4096,229124,62148,27313,10426,246,2566,628,21691
1940022,1.192000,80592,38364,15217,338,3760,689,31143,80563,38524,15045,216,3961,707,30989,401567,251916,100612,1747,50110,3247,196668,45258,20386,7895,189,1820,323,13211
2042057,1.200000,32873,15323,5330,58,1312,177,7251,74190,35401,13897,202,3589,612,27760,412947,259155,103721,1790,51092,3437,202261,23087,10606,3524,37,706,92,2187
2144085,1.200000,31969,14595,5291,52,1293,170,6850,75753,36429,14213,191,3734,622,28567,401634,250896,100567,1720,49282,3277,196681,74061,34792,13261,323,3498,805,27873
2246122,1.200000,78056,36317,13688,298,3637,743,29977,78235,37515,14737,211,3813,676,29904,408577,258162,102938,1735,51356,3346,200140,44761,20270,7553,171,1766,343,13003
2348197,1.200000,39172,18412,6549,87,1703,254,10462,139266,68700,27429,326,7681,1264,60385,471069,290684,114160,1836,53547,3829,221875,57251,26130,9954,199,2434,517,19409
2450411,1.200000,142663,60068,24294,464,6460,1410,62278,127032,60025,24306,427,6274,1230,54244,438651,272342,109724,1862,52294,3672,215193,44086,20173,7518,146,1748,334,12688
2552456,1.232000,32456,14566,5285,59,1286,177,6951,87111,42184,16866,277,4252,801,34256,411167,258796,103547,1749,51206,3387,201407,22678,10630,3525,37,706,93,2116
2654489,1.200000,73330,33582,13138,268,3227,652,27612,78792,37398,14325,220,3857,720,30062,408829,255546,102138,1808,50443,3356,200224,42910,20384,7612,121,1794,315,12344
2756527,1.200000,52191,24032,9192,173,2241,410,16912,73843,35394,13895,181,3588,606,27685,406190,255623,101886,1736,50927,3382,198955,42802,20294,7545,143,1769,301,12152
2858579,1.248000,122039,56352,22798,506,5667,1263,51927,122465,60056,23421,304,6885,1142,51769,423849,266532,107258,1699,52212,3390,207768,105784,48443,18943,433,5033,1053,43618
2960628,1.200000,33224,15271,5330,57,1305,181,7414,76471,36910,14247,204,3808,661,28895,416833,262863,105187,1813,51867,3392,204228,23176,10599,3524,42,710,89,2242
3062652,1.200000,72037,32964,12777,280,3187,654,27014,108260,53736,21079,282,6033,988,44863,432259,271363,109536,1807,52039,3556,211937,22742,9877,3486,36,688,85,2110
3164694,1.200000,39318,17691,6300,99,1613,241,10448,123742,55941,22360,370,6007,1230,52566,412463,257829,103325,1775,50725,3446,202026,42468,19553,7467,151,1684,287,12111
3266773,1.200000,80213,37144,14173,290,3833,769,30954,77309,36393,14207,230,3725,690,29281,429336,264846,105579,1861,51654,3791,210472,43075,20275,7548,139,1767,316,12328
3368821,1.200000,33068,15266,5325,63,1300,171,7318,122747,59969,23747,332,6634,1147,52020,451176,281513,113787,1873,53558,3810,221378,77693,36418,14193,307,3576,730,29646
3470861,1.180000,140180,64141,26212,503,6808,1544,60940,74315,35434,13899,179,3589,610,27799,411538,257618,103059,1782,50638,3413,201596,23409,10576,3525,36,710,97,2396
3572896,1.200000,32222,15325,5331,55,1312,177,6929,79883,38143,14611,195,3960,726,30620,408048,255918,102395,1753,50480,3370,199891,22634,9874,3472,36,687,89,2010
3674928,1.200000,85602,40153,15892,357,4017,847,33733,74452,35386,13888,193,3590,609,27858,411366,256049,102265,1835,50392,3450,201459,47671,23081,8588,129,2175,395,14720
3776998,1.200000,50986,23568,9024,174,2183,374,16340,76395,37029,14272,186,3813,655,28905,409066,256038,102130,1786,50620,3462,200348,42879,20225,7545,132,1763,299,12177
