time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
103090,1.248000,992414,419768,168976,4314,52555,12067,487539,442245,203367,86695,2158,23053,4243,212440,108837,51907,22134,342,5348,901,45669,414939,217501,88419,1778,38918,3503,203250
205127,1.212000,128354,55819,23376,646,5712,1319,55505,89019,43656,17820,342,4449,843,35111,23301,10629,3521,32,702,94,2321,422129,233010,96161,2156,38926,4144,206902
307167,1.196000,36813,17288,6118,66,1577,250,9133,146128,70791,29135,670,7477,1527,63808,22750,10577,3525,29,706,95,2164,384861,216949,89676,1930,36540,3792,188236
409226,1.200000,87749,39862,15596,352,4028,920,34824,123669,61202,24561,492,6529,1286,52514,23831,10755,3612,37,702,98,2301,382191,222871,92438,1854,37081,3644,186916
511274,1.200000,223591,70027,27025,935,6562,1986,102611,76753,36641,14433,236,3716,668,29104,22695,10630,3524,29,707,94,2202,368825,216041,89267,1816,36602,3466,180218
613309,1.240000,217005,93091,38790,1202,9514,2270,99320,79279,38048,14795,235,3928,675,30346,22942,10577,3524,29,706,96,2318,404947,231702,95752,1952,38265,3963,198333
715347,1.200000,33258,15318,5331,68,1313,195,7315,76514,36892,14498,234,3713,644,28910,22582,10573,3524,28,706,96,2106,366346,215242,88790,1815,36578,3482,178951
817372,1.200000,92788,40561,15334,437,4269,1050,37261,100343,48156,18613,319,5163,970,40944,22971,10593,3526,28,706,92,2333,398841,225239,92529,1970,37651,4061,195209
919451,1.196000,39162,18357,6547,83,1701,266,10402,100275,48131,18579,354,4891,954,40132,22460,10576,3521,28,702,91,2134,376009,219036,90562,1772,36668,3628,183757
1021474,1.200000,85058,39334,15815,366,3937,875,33361,75201,36082,14021,193,3677,648,28338,22666,10555,3524,28,706,94,2168,358392,208144,85963,1724,35297,3281,175061
1123503,1.200000,97192,44343,17850,382,4449,895,39397,79970,38571,14748,208,4003,724,30779,22736,10573,3523,28,706,93,2203,399893,232297,95972,1919,38770,3867,195698
1225537,1.180000,81309,37659,15114,361,3765,724,31449,75720,36142,14032,185,3678,634,28580,22631,10573,3525,28,706,92,2165,362427,211942,87413,1732,36423,3399,177008
1327559,1.200000,74278,31484,12047,299,3161,592,27996,77664,37024,14337,204,3817,665,29601,46721,21585,8293,190,1809,442,14264,378112,216180,89046,1942,36384,3771,184914
1429632,1.196000,81727,38392,15203,372,3796,734,31678,96292,46266,18414,264,4923,862,39291,23076,10576,3523,28,702,93,2322,377619,219476,90678,1796,37301,3575,184596
1531662,1.196000,32857,14561,5286,67,1290,178,7130,78691,38165,14850,193,3908,679,30070,22397,10595,3525,29,706,88,2120,361611,212318,87563,1706,36084,3420,176637
