time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
103091,1.220000,643110,259718,100384,2511,29020,6278,312957,291030,130529,56354,1267,14036,2693,136748,318613,137647,58253,1638,15604,3517,150561,434029,227342,93128,1786,39835,3592,212729
205013,1.188000,136732,61916,24377,726,6674,1529,59057,203411,87928,36197,1072,9133,2369,92687,161617,68966,27076,677,7630,2061,71372,376074,214004,87341,1680,37216,3602,183801
307151,1.200000,40140,18365,6545,79,1701,269,10784,153346,77582,31958,667,8266,1693,67361,23541,10643,3522,28,706,94,2417,440518,253105,105047,2258,40904,4461,216150
409240,1.252000,277126,93322,36756,1229,9198,2789,129453,67813,29653,11438,309,2729,613,24535,658413,261137,105570,3225,32395,7921,320141,562630,302799,125393,2517,48123,5578,277146
511382,1.204000,244487,107085,41759,546,12811,2230,113008,222128,91404,39170,1120,10650,2334,102249,2350722,1669736,666541,7503,219419,24390,1166659,487467,253974,104187,2330,42819,4431,239539
613457,1.204000,32872,14562,5285,61,1278,173,7170,111398,46350,18588,525,4660,1043,46279,22609,9782,3463,35,694,99,2246,416145,231549,95682,2107,38210,4018,203887
715497,1.440000,32124,15259,5327,53,1305,171,6938,23136,10635,3521,45,706,95,2182,22560,10584,3522,28,710,96,2034,393121,225785,93224,1799,37475,3902,192403
817595,1.204000,39510,18373,6540,84,1695,267,10662,89477,41673,16413,420,4053,909,35472,22831,10571,3519,28,702,97,2149,459130,262769,108923,1921,42166,4588,225366
919650,1.200000,35070,15466,5673,61,1381,200,8380,24363,10612,3523,53,706,98,2718,366382,160039,63705,2164,19624,4568,174032,466338,260407,108051,2069,42004,4607,228990
1021706,1.204000,57581,26036,9878,233,2455,542,19741,90886,41752,16429,401,4074,859,36177,88216,38038,14847,434,3708,999,34805,443897,253882,104576,1994,42535,4425,217694
1123851,1.188000,136901,53295,21313,550,5572,1371,59362,173972,74928,31943,834,8385,1850,77583,190666,67198,27094,1378,8137,2193,85932,477404,261953,107780,2382,42988,5035,234547
1226001,1.204000,88633,40073,15939,440,3961,777,34921,86820,37299,14476,463,3850,957,34190,127999,62059,25649,841,7112,1397,54723,400889,221032,90878,1779,37494,3888,196212
1328070,1.204000,121799,53243,21603,534,5739,1091,51551,183565,87013,37503,947,10050,1944,82407,270702,112797,46201,2065,14290,3226,125966,471847,258813,106921,2225,41873,4812,231723
1430144,1.200000,33695,15236,5331,60,1303,172,7612,76555,30987,11797,364,2937,751,28818,300857,131407,52116,1731,16705,3909,141317,484532,267064,110610,2315,42988,4844,238076
1532212,1.200000,86386,37687,14961,268,3955,704,34076,190282,88726,37937,913,10328,1979,85680,670982,331094,139196,4223,40686,7545,326093,487029,265504,109728,2381,42601,4867,239321
